Genus,LM,TD,TI,TP,LL,WD,WI,LI
Hemiauchenia,54.95,25.65,31.31,24.7,59.21,38.85,42.86,45.59
Hemiauchenia,51.85,21.39,27.84,23.75,54.2,34.95,38,42.72
Megatylopus,83.18,35.84,44.26,38.73,94.5,62.95,66.02,73.16
Megatylopus,80.48,33.47,44.07,,85.95,59.86,53.87,68.36
Megatylopus,,31.21,41.01,36.03,84.85,,54.17,68.07
Megatylopus,84.25,33.11,45.11,39.38,90.85,59.23,63.05,72.83
Megatylopus,,31.9,45.84,39.43,87.4,,58.28,68.87
Megatylopus,78.07,31.95,45.83,37.46,85.71,60.9,63.2,67.26
Megatylopus,73.75,32.46,40.37,32.16,80.22,55.02,52.96,62.44
Megatylopus,82.09,37.27,43.75,,86.52,56.65,61.19,69.63
Megatylopus,77.97,,39.88,33.45,86.85,61.23,59.59,66.31
Megatylopus,81.68,32.39,42.32,37.76,88.53,55.69,58.88,68.25
Megatylopus,81.01,35.24,46.14,,87.11,59.02,62.09,67.89
Megatylopus,75.25,32.83,43.73,33.85,79.77,55.75,59.07,63.11
Megatylopus,79.28,33.17,42.12,34.75,,59.25,59.05,69.03
Megatylopus,72.46,30.8,42.35,34.28,81.53,56.2,57.66,62.52
Megatylopus,80.54,34.92,43.03,,87.85,64.75,64.64,69.79
Megatylopus,79.86,33.48,43.49,35.28,86.77,59.46,60.66,70.63
Megatylopus,77.51,34.86,43.09,36.18,86.89,60,61.61,67.3
Megatylopus,78.72,33.35,45.4,39,89.78,60.75,60.6,69.92
Megatylopus,81.34,34.37,42.82,37.61,87.22,61.69,60.02,70.08
Megatylopus,81.01,28.45,42.91,,,61.65,55.74,67.58
Megatylopus,85.04,33.93,48.57,43.25,89.9,64.4,62.86,74.89
Megatylopus,79.92,35.96,44.61,38.61,90.85,60.39,64.24,68.67
Megatylopus,77.13,33.77,42,35.42,84.89,58.15,62.66,67.29
Megatylopus,83.42,38.75,45.48,38.83,91.96,64.63,65.2,73.34
Megatylopus,83.58,33.11,43.08,38.01,91.87,63.14,61.89,73.22
Megatylopus,79.97,35.83,44.48,40.12,88.95,65.34,67.12,69.88
Megatylopus,83.55,,44.96,38.64,91.08,64.74,65.68,69.91
Megatylopus,80.87,34.04,40.23,35.18,86.85,58.92,56.22,67.89
Megatylopus,76.46,34.79,43.34,36.07,84.33,58.93,59.69,65.88
Megatylopus,78.87,,41.39,37.05,84.52,62.64,62.22,68.53
Megatylopus,79.78,,41.61,34.61,86.34,59.43,62.09,68.29
Megatylopus,76.06,31.48,43.63,35.61,83.12,58.21,63.07,65.96
Megatylopus,82.58,,43.42,37.56,90.46,60.48,63,70.24
Megatylopus,75,28.02,41.12,33.98,78.86,57.34,56.49,62.46
